frame,timestamp,x_A,y_A,activity_roi_A,hit_A,x_B,y_B,activity_roi_B,hit_B,hits_total,condicion
297,10.452,432.265533,246.451797,False,False,438.292511,255.286224,False,False,0,competicion
298,10.484999999999999,444.42926,254.252029,False,False,437.907501,246.267212,False,False,0,competicion
299,10.532,NaN,NaN,False,False,443.463959,245.026123,False,False,0,competicion
300,10.564,NaN,NaN,False,False,443.834229,236.010025,False,False,0,competicion
301,10.598000000000001,NaN,NaN,False,False,447.862854,223.379745,False,False,0,competicion
302,10.629,NaN,NaN,False,False,431.199066,197.388885,False,False,0,competicion
303,10.662000000000001,NaN,NaN,False,False,431.943481,198.67392,False,False,0,competicion
304,10.694000000000001,NaN,NaN,False,False,439.098907,200.133698,False,False,0,competicion
305,10.724,NaN,NaN,False,False,438.937469,195.796524,False,False,0,competicion
306,10.757,NaN,NaN,False,False,438.759735,192.910812,False,False,0,competicion
307,10.789,NaN,NaN,False,False,438.235077,190.557159,False,False,0,competicion
308,10.821999999999999,NaN,NaN,False,False,437.583527,189.366638,False,False,0,competicion
309,10.853,NaN,NaN,False,False,436.90802,188.616455,False,False,0,competicion
310,10.885999999999999,434.463013,186.97963,False,False,436.100555,188.554367,False,False,0,competicion
311,10.933,NaN,NaN,False,False,435.137207,188.444,False,False,0,competicion
312,10.965999999999999,NaN,NaN,False,False,434.635986,188.388184,False,False,0,competicion
313,10.997,NaN,NaN,False,False,433.319611,187.593414,False,False,0,competicion
314,11.034000000000001,NaN,NaN,False,False,432.932312,187.020065,False,False,0,competicion
315,11.061999999999999,NaN,NaN,False,False,431.598083,186.190918,False,False,0,competicion
316,11.093,NaN,NaN,False,False,430.825317,185.256454,False,False,0,competicion
317,11.130000000000001,NaN,NaN,False,False,429.79306,184.097137,False,False,0,competicion
318,11.173999999999999,NaN,NaN,False,False,428.803955,182.959274,False,False,0,competicion
319,11.196999999999999,NaN,NaN,False,False,427.831573,181.283035,False,False,0,competicion
320,11.220000000000001,426.14975,179.551529,False,False,426.803314,179.707993,False,False,0,competicion
321,11.253,424.834442,177.990356,False,False,425.886383,178.10527,False,False,0,competicion
322,11.284000000000001,422.677582,177.56752,False,False,425.225311,176.471634,False,False,0,competicion
323,11.337999999999999,423.43103,174.912521,False,False,424.665863,174.405258,False,False,0,competicion
324,11.369,421.570374,174.1539,False,False,424.289063,172.548172,False,False,0,competicion
325,11.396000000000001,420.609802,172.217224,False,False,424.07016,170.855759,False,False,0,competicion
326,11.428000000000001,420.115845,170.95166,False,False,423.757019,169.797562,False,False,0,competicion
327,11.461,NaN,NaN,False,False,423.232666,168.813965,False,False,0,competicion
